Curriculum,"Accounting, B.S. (program changes)",,,,,,,,
Institution,LSUAM,,,,,,,,
Degree Type,Bachelor of Science,,,,,,,,
System Type,semester,,,,,,,,
CIP,52.03,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,ECON 2000 Principles of Microeconomics,,,,,,3,,
2,ENGL 1001 English Composition I,,,,,,3,,
3,MATH 1021 College Algebra,,,,,,3,,
4,GENED - Natural Science,,,,3,,3,,
5,GENED - Humanities,,,,,,3,,
6,ACCT 2001 Introductory Financial Accounting,,,3,,,3,,
7,ISDS 1102 Introduction to Management Information Systems for Business Majors,,,3,,,3,,
8,MATH 1431 Calculus with Business and Economic Applications,,,3,,,3,,
9,Oral and Written Communication Requirement 1,,,,,,3,,
10,GENED - Natural Science,,,,,,3,,
11,ECON 2010 Principles of Macroeconomics,,,1,,,3,,
12,ISDS 2000 Business Statistics and Analytics I,,,8,,,3,,
13,ACCT 2101 Introductory Managerial Accounting,,,6,,,3,,
14,Oral and Written Communication Requirement 2,,,,,,3,,
15,General Education course - Humanities,,,,,,3,,
16,"ECON 2035 Money, Banking and Macroeconomic Activity",,,11;1,,,3,,
17,ENGL 2000 English Composition II,,,2,,,3,,
18,ISDS 2001 Business Statistics and Analytics II,,,12,,,3,,
19,General Education course - Arts,,,,,,3,,
20,General Education course - Natural Sciences,,,,,,3,,
21,ACCT 3001 Intermediate Accounting–Part I,,,13;8;2;3;8;1;7;6,,,3,,
22,ACCT 3025 Accounting Analytics,,,13;18,,,3,,
23,FIN 3716 Principles of Finance,,,11;6;12,,,3,,
24,ISDS 3115 Introduction to Operations Management,,,,18,,3,,
25,GENED - Humanities,,,,,,3,,
26,ACCT 3021 Intermediate Accounting–Part II,,,21,,,3,,
27,ACCT 3121 Cost Analysis and Control ,,,13,,,3,,
28,BLAW 3201 Business Law,,,,,,3,,
29,MGT 3200 Principles of Management,,,,,,3,,
30,MKT 3401 Principles of Marketing,,,,,,3,,
31,ACCT 3122 Accounting Information Systems,,,21;22;7,,,3,,
32,ACCT 3221 Income Tax Accounting I,,,21,,,3,,
33,ACCT 4022 Advanced Accounting,,,26,,,3,,
34,ACCT 4421 Governmental and Not-for-Profit Accounting,,,21,,,3,,
35,BLAW 4203 Commercial Transactions for Accountants,,,28,,,3,,
36,Elective,,,,,,3,,
37,ACCT 3222 Auditing,,,26;31,,,3,,
38,ACCT 4244 Audit Analytics,,,31,,,3,,
39,MGT 3830 Strategic Management,,,29;30,23,,3,,
40,Elective,,,,,,3,,
41,Elective,,,,,,3,,
