Department,Major,College,Course,Units,Course Type,GE/Major Overlap,Start Year,Year Taken,Quarter Taken,Term Taken
ACCOUNTING,AC26,SI,ECON 2000,3,DEPARTMENT,N,2026,1,1,
ACCOUNTING,AC26,SI,ENGL 1001,3,DEPARTMENT,N,2026,1,1,
ACCOUNTING,AC27,SI,MATH 1021,3,DEPARTMENT,N,2026,1,1,
ACCOUNTING,AC28,SI,GENED-NATURALSCIENCE,3,DEPARTMENT,N,2026,1,1,
ACCOUNTING,AC29,SI,GENED-HUMANITIES,3,DEPARTMENT,N,2026,1,1,
ACCOUNTING,AC30,SI,ACCT 2001,3,DEPARTMENT,N,2026,1,2,
ACCOUNTING,AC31,SI,ISDS 1102,3,DEPARTMENT,N,2026,1,2,
ACCOUNTING,AC32,SI,MATH 1431,3,DEPARTMENT,N,2026,1,2,
ACCOUNTING,AC33,SI,CXC1000,3,DEPARTMENT,N,2026,1,2,
ACCOUNTING,AC34,SI,GENED-NATURALSCIENCE,3,DEPARTMENT,N,2026,1,2,
ACCOUNTING,AC35,SI,ECON 2010,3,DEPARTMENT,N,2026,2,3,
ACCOUNTING,AC36,SI,ISDS 2000,3,DEPARTMENT,N,2026,2,3,
ACCOUNTING,AC37,SI,ACCT 2101,3,DEPARTMENT,N,2026,2,3,
ACCOUNTING,AC38,SI,CXC1000,3,DEPARTMENT,N,2026,2,3,
ACCOUNTING,AC39,SI,GENED-HUMANITIES,3,DEPARTMENT,N,2026,2,3,
ACCOUNTING,AC40,SI,ECON 2035,3,DEPARTMENT,N,2026,2,3,
ACCOUNTING,AC41,SI,ENGL 2000,3,DEPARTMENT,N,2026,2,4,
ACCOUNTING,AC42,SI,GENED-ART,3,DEPARTMENT,N,2026,2,4,
ACCOUNTING,AC43,SI,"GenEd, Arts",3,DEPARTMENT,N,2026,2,4,
ACCOUNTING,AC44,SI,GENED-NATURALSCIENCE,3,DEPARTMENT,N,2026,2,4,
ACCOUNTING,AC45,SI,ACCT 3001,3,DEPARTMENT,N,2026,2,4,
ACCOUNTING,AC46,SI,ACCT 3025,3,DEPARTMENT,N,2026,3,5,
ACCOUNTING,AC47,SI,FIN 3716,3,DEPARTMENT,N,2026,3,5,
ACCOUNTING,AC48,SI,ISDS 3115,3,DEPARTMENT,N,2026,3,5,
ACCOUNTING,AC49,SI,GENED-HUMANITIES,3,DEPARTMENT,N,2026,3,5,
ACCOUNTING,AC50,SI,ACCT 3021,3,DEPARTMENT,N,2026,3,5,
ACCOUNTING,AC51,SI,ACCT 3121,3,DEPARTMENT,N,2026,3,6,
ACCOUNTING,AC52,SI,BLAW 2201,3,DEPARTMENT,N,2026,3,6,
ACCOUNTING,AC53,SI,MGT 3200,3,DEPARTMENT,N,2026,3,6,
ACCOUNTING,AC54,SI,MKT 3401,3,DEPARTMENT,N,2026,3,6,
ACCOUNTING,AC55,SI,ACCT 3122,3,DEPARTMENT,N,2026,3,6,
ACCOUNTING,AC56,SI,ACCT 3221,3,DEPARTMENT,N,2026,4,7,
ACCOUNTING,AC57,SI,ACCT 4022,3,DEPARTMENT,N,2026,4,7,
ACCOUNTING,AC58,SI,ACCT 4421,3,DEPARTMENT,N,2026,4,7,
ACCOUNTING,AC59,SI,BLAW 4203,3,DEPARTMENT,N,2026,4,7,
ACCOUNTING,AC60,SI,ELECTIVE,3,DEPARTMENT,N,2026,4,7,
ACCOUNTING,AC61,SI,ACCT 3222,3,DEPARTMENT,N,2026,4,8,
ACCOUNTING,AC62,SI,ACCT 4244,3,DEPARTMENT,N,2026,4,8,
ACCOUNTING,AC63,SI,MGT 3830,3,DEPARTMENT,N,2026,4,8,
ACCOUNTING,AC64,SI,ELECTIVE,3,DEPARTMENT,N,2026,4,8,
ACCOUNTING,AC65,SI,ELECTIVE,3,DEPARTMENT,N,2026,4,8,
